X1,X2,X4,X5,X6,X7,X8,X9,X10,X12,X13,X15,X16,X19,X25,X27,X28,X29,X32,X33,X34,X35,X41,X45,X47,X50,X52,X53,X55,X57,X59,X65
0.20055,0.37951,2.0472,32.351,0.38825,0.24976,1.3305,1.1389,0.50494,0.6598,0.1666,497.42,0.73378,0.14942,0.50494,1.4582,1.7615,5.9443,94.14,3.8772,0.56393,0.21402,0.051402,1.0097,49.394,2.042,0.25792,2.2437,348690.0,0.39718,0.001924,0
0.20912,0.49988,1.9447,14.786,0.0,0.25834,0.99601,1.6996,0.49788,0.5168,0.15835,677.96,0.53838,0.152,0.39542,88.444,16.946,3.6884,122.17,2.9876,2.9876,0.20616,0.064371,0.51045,100.13,1.9447,0.33472,17.866,2304.6,0.42002,0.0,0
0.24866,0.69592,1.5548,-1.1523,0.0,0.30906,0.43695,1.309,0.30408,0.64184,0.24435,794.16,0.45961,0.2361,0.28932,86.011,1.0627,4.3749,176.93,2.063,1.4274,0.31565,0.07402,0.94807,96.372,1.0758,0.48474,1.2098,6332.7,0.81774,0.69484,0
0.081483,0.30734,2.4928,51.952,0.14988,0.092704,1.8661,1.0571,0.57353,0.30163,0.094257,917.01,0.39803,0.071428,0.57353,0.94076,1.9618,4.6511,91.37,3.9948,0.37581,0.1155,0.069622,0.2872,84.344,2.4928,0.25033,2.4524,20545.0,0.14207,0.0,0
0.18732,0.61323,1.4063,-7.3128,0.18732,0.18732,0.6307,1.1559,0.38677,0.33147,0.12182,1133.2,0.32211,0.11553,0.38677,1.4138,1.1184,4.1424,147.04,2.4823,0.3234,0.19832,0.09668,0.73919,65.936,1.2959,0.40285,1.8839,3186.6,0.48431,0.12444,0
0.22822,0.49794,1.7502,-47.717,0.0,0.28139,1.0083,1.9786,0.50206,0.58691,0.14812,620.14,0.58858,0.14222,0.4997,55.511,2.2359,4.3258,102.76,3.5519,3.42,0.27566,0.056701,0.3925,124.63,1.6852,0.28154,3.1209,7616.8,0.45457,0.023002,0
0.11109,0.64744,1.4705,2.5349,0.0,0.11109,0.54454,1.7348,0.35256,0.18041,0.30963,439.94,0.82965,0.064036,0.31469,0.0,3.0648,3.677,328.73,1.1103,1.056,0.024982,0.050653,0.40485,146.49,1.3985,0.90064,3.7297,1377.1,0.3151,0.0,0
0.53232,0.027059,53.954,299.58,0.0,0.6524,35.957,0.65273,0.97294,48.966,1.0602,14.272,25.575,0.99949,0.9698,16.158,2.5096,4.2428,8.1579,44.742,22.031,0.056612,0.001269,7.4458,43.774,26.567,0.02235,3.4607,12341.0,0.54713,0.013194,0
0.00902,0.63202,1.1263,-37.842,0.0,0.014434,0.58223,1.3332,0.36798,0.033921,0.038938,4443.7,0.082138,0.010827,0.34828,1.0714,0.10319,5.9479,142.09,2.6284,1.7697,0.24013,0.30865,0.06743,43.654,0.75832,0.38046,0.70666,1.1263,0.024512,0.34094,0
0.12408,0.83837,1.1694,-91.883,0.0,0.15328,0.19279,2.1156,0.16163,0.18284,0.075411,1918.1,0.1903,0.072451,0.15445,5.0592,7.2291,3.843,157.15,2.3226,2.3224,0.16854,0.16994,0.19467,119.49,1.1694,0.43056,8.226,989.41,0.76768,0.0,0
0.24001,0.44355,1.44,-21.165,-0.9319,0.24001,1.2545,4.7447,0.55645,0.56072,0.1951,174.89,2.087,0.050585,-0.63075,0.0,0.491,3.2184,50.94,7.1653,6.9146,0.01533,0.021562,0.83822,34.076,1.3897,0.13956,1.4505,311.43,0.43132,0.0,0
-0.027117,0.11148,2.0754,-31.643,-0.084883,-0.0243,7.6741,0.90732,0.85551,-0.21798,0.10164,754.95,0.48347,-0.045825,0.85551,-0.42174,0.15597,4.0568,69.621,5.2427,-0.22111,-0.024649,0.068443,-0.18758,90.281,2.0754,0.19074,1.113,1366.5,-0.031697,0.0,0
0.26669,0.34994,3.0243,43.087,0.55983,0.33207,1.8577,1.1268,0.65006,1.0993,0.12047,367.04,0.99444,0.11496,0.65006,1.1885,7.0728,3.9412,43.006,8.4871,0.87075,0.30471,0.035883,0.88253,43.023,2.6106,0.11783,7.5192,5340.0,0.41025,0.07363,0
0.067731,0.19885,2.9576,90.606,0.21265,0.078063,4.029,1.257,0.80115,1.8736,0.31036,926.03,0.39415,0.30912,0.80115,2.6744,0.093025,5.2684,75.693,4.8221,0.27021,0.05373,0.12097,2.2025,55.868,0.61971,0.20738,0.91375,15132.0,0.084542,0.19619,0
-0.029182,0.21131,7.5746,57.844,0.010387,-0.034653,3.7324,1.0241,0.78869,-0.50333,0.004191,23292.0,0.015671,-0.043861,0.78869,-0.65622,0.94595,4.8827,32.575,11.205,-0.23957,-0.050624,-0.54879,-0.12797,107.89,2.4679,0.089246,1.6482,34549.0,-0.037001,0.18063,0
-0.033801,1.154,0.8215,-74.451,-0.10413,-0.033801,-0.159,0.97767,-0.18349,-0.029291,-0.012483,-14644.0,-0.024924,-0.01467,-0.18349,-0.28604,-3.9602,5.438,178.73,2.0422,-0.058416,-0.06741,-0.60828,-0.12161,43.049,0.8215,0.48967,-3.5277,-56473.0,0.18421,0.0,0
0.27053,0.29913,2.5669,73.395,0.72793,0.33619,2.2315,1.2214,0.6675,1.1239,0.20684,291.52,1.2521,0.18567,0.6675,2.2609,2.0187,4.341,73.647,4.9561,1.1205,0.33518,0.026329,1.6533,40.287,2.5669,0.20177,2.875,10278.0,0.40529,0.0,0
0.028084,0.24231,3.0128,47.935,0.021598,0.039729,3.1037,1.0125,0.75206,0.185,0.04419,1059.3,0.34458,0.021027,0.75206,0.29448,1.2244,4.4729,42.004,8.6896,0.22679,0.054953,0.080697,0.14973,36.686,2.6701,0.11508,2.1304,12841.0,0.037342,0.036647,0
0.20393,0.56037,1.2408,3.158,0.0,0.24291,0.78452,2.2706,0.43963,0.43347,0.117,769.91,0.47408,0.10698,0.40929,33.062,0.44293,3.7222,100.95,3.6156,3.6156,0.24454,0.0734,2.2434,16.376,1.2408,0.27658,1.4429,711.85,0.46386,0.0,0
0.20876,0.4965,2.019,38.934,0.005436,0.25619,1.0141,2.2827,0.5035,0.61357,0.14063,564.55,0.64654,0.11223,0.43302,26.249,2.7105,4.1519,75.269,4.8493,4.0781,0.25792,0.050359,1.159,32.469,1.6979,0.20622,3.2075,6037.1,0.41462,0.046947,0
